row_id,date,fact_type,subject,detail,amount_usd,source_url,quote,notes
RW14,2021-07,board,Holden Karnofsky,"Treasurer/CFO and director from founding (990 TY2021-22) through 11/2023 (990 TY2023). Redwood grants dated 2021-11 and 2022-08 were made while he was Open Philanthropy co-CEO. He was on leave when the 2023-06 grant was made; Alexander Berger was acting sole CEO. Karnofsky returned in 2023-07 as Director of AI Strategy, with no grant-approval authority or AI-team reporting line stated; he left Open Philanthropy in 2024-04 and joined Anthropic in 2025-01. Later METR advisor (board.csv B12).",,https://forum.effectivealtruism.org/posts/JZqbNjtAqieivTG7Q/redwood-research-is-hiring-for-several-roles;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml,HOLDEN KARNOFSKY | DIRECTOR (THRU 11/23) | 0 | 2.00 hrs,audit 2026-09-14: was described as serving throughout the 2021-23 grants 'while co-CEO of Open Philanthropy'; the 2023 grant occurred during his leave.
RW15,2023,board,Ajeya Cotra,"Director 2023 (990 TY2023) through 8/2024 (990 TY2024 ""DIRECTOR (THRU 8/24)""), then at Open Philanthropy; joined METR technical staff 2026-01 (staff_origins S12) and co-authored the Aug 2026 HF-incident report with Greenblatt. METR bio omits the Redwood board role",,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml;https://metr.org/team/ajeya-cotra/,AJEYA COTRA | DIRECTOR (THRU 8/24) | 0 | 2.00 hrs,
RW16,2021-07,staff,Bill (William) Zito,"Co-leader; COO 2021-2023 (990: $274,370 TY2022; $78,138 TY2023); not on 2024 filing",,https://forum.effectivealtruism.org/posts/JZqbNjtAqieivTG7Q/redwood-research-is-hiring-for-several-roles;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml,"We're led by Nate Thomas (CEO), Buck Shlegeris (CTO), and Bill Zito (COO)",
RW17,2022,staff,James Bregan,"Head of Constellation Operations 2022 ($234,234); CFO/Secretary 2023 ($145,833); Secretary/Treasurer 2024 ($0, 4 hrs/wk)",,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349304867_public.xml;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml,"JAMES BREGAN | SECRETARY, TREASURER | 0 | 4.00 hrs",
RW18,2023-09,staff,Daniel Ziegler (Redwood -> METR -> Anthropic),"OpenAI MTS May 2018-Nov 2021; Redwood MTS Aug 2021-Jun 2023 (led adversarial training team; $384,872 TY2022, top-paid); METR MTS Sep 2023-Apr 2024; Anthropic MTS from Jun 2024 (staff_origins S31)",,https://www.alphaxiv.org/@daniel-m-ziegler;https://metr.org/team/daniel-ziegler/;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349304867_public.xml,Redwood Research: Member of Technical Staff (Aug 2021 - Jun 2023),
RW19,2023-01,staff,Lawrence Chan (Redwood -> METR),METR technical staff (former) from 2023-01; prior Redwood mechanistic interpretability and adversarial training (staff_origins S32),,https://metr.org/team/lawrence-chan/;https://chanlawrence.me/,staff_origins S32: prior_org Redwood Research,
RW20,,staff,Haoxing Du (Redwood -> METR),METR technical staff (former); prior Redwood interpretability researcher (staff_origins S33),,https://metr.org/team/haoxing-du/,staff_origins S33: prior_org Redwood Research,
RW21,2024,staff,Seraphina Nix (Redwood -> METR),"METR technical staff (former), joined 2024; METR 2024 annual report bio ""formerly of Redwood Research"" (staff_origins S07)",,https://metr.org/team/seraphina-nix/;https://metr.org/2024-annual-report.pdf,"Nix, formerly of Redwood Research",
RW22,2022,staff,Beth Barnes (METR CEO) at Redwood MLAB,"Shlegeris says Barnes attended Redwood's ML for Alignment Bootcamp (MLAB, launched Dec 2021) as a participant",,https://blog.redwoodresearch.org/p/the-inaugural-redwood-research-podcast,"I think it's good that she knows more machine learning, and I think she found it a helpful learning experience",
RW23,2024-12-18,lab tie,"Redwood Research + Anthropic: ""Alignment faking in large language models"" (arXiv 2412.14093)","20 authors; Greenblatt (Redwood) lead, Shlegeris and Fabien Roger (ex-Redwood, then Anthropic) co-authors; remaining authors Anthropic and academic; submitted by Evan Hubinger (Anthropic)",,https://arxiv.org/abs/2412.14093;https://blog.redwoodresearch.org/p/alignment-faking-in-large-language,New Redwood Research (@redwood_ai) paper in collaboration with @AnthropicAI,
RW24,2024-12-18,lab tie,Ryan Greenblatt employee-level Anthropic model access,"Greenblatt says Anthropic gave him employee-level model access for the alignment-faking project after he showed early results to Evan Hubinger; he states he is not an Anthropic employee (X, 2025-08-04)",,https://blog.redwoodresearch.org/p/alignment-faking-in-large-language;https://x.com/RyanPGreenblatt/status/1869438993957560725;https://x.com/RyanPGreenblatt/status/1952469104402878868,"After showing @EvanHub and others my results, Anthropic graciously agreed to provide me with employee-level model access for the project.",
RW25,2024-12-18,statement,Beth Barnes (METR) on X praising Anthropic for Greenblatt access,Quote-post of Greenblatt thread; text recovered from her profile via search snippet; status id NOT recovered (3 searches),,https://x.com/bethmaybarnes,Props to Anthropic for providing @ryangreenblatt with employee-level model access; I'd love to see more of this type of support for independent AI safety research,
RW26,2026,lab tie,Redwood advises Google DeepMind and Anthropic,Redwood home page lists Google DeepMind as an advised company and says it advises AI companies on assessing/mitigating misaligned-agent risk; UK AISI partnership on AI control safety case (2024 paper),,https://www.redwoodresearch.org/,collaborates with governments and advises AI companies including Google DeepMind and Anthropic,
RW27,2023-12,lab tie,"Redwood ""AI Control"" paper (GPT-4)","Redwood research page: AI Control work (Greenblatt, Shlegeris, Sachan, Roger) built on OpenAI GPT-4 as the untrusted model; no OpenAI co-authorship found",,https://www.redwoodresearch.org/research,AI Control ... Collaborator: OpenAI (GPT-4) ... Testing strategies to detect hidden backdoors in code,
RW28,2025-07-15,lab tie,"""Chain of Thought Monitorability"" (arXiv 2507.11473), 41 authors","Cross-lab position paper: Greenblatt and Shlegeris (Redwood) with OpenAI, Google DeepMind, Anthropic authors and Elizabeth Barnes (METR); also earliest METR-Redwood co-authorship found",,https://arxiv.org/abs/2507.11473,"authors include Ryan Greenblatt, Buck Shlegeris, Elizabeth Barnes",
RW29,2024-07,staff,Fabien Roger (Redwood -> Anthropic),"Redwood technical staff through 7/2024 (990 TY2024, $141,452); now Anthropic MTS per MATS mentor page; co-author alignment-faking paper",,https://www.matsprogram.org/mentor/roger;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml,FABIEN ROGER | TECHNICAL STAFF (THRU 7/24) | 141452,
RW30,2023-11,staff,Kshitij Sachan (Redwood -> Anthropic),"Redwood MTS Jun 2022-Nov 2023 (990 TY2023 ""THRU 11/23"", $173,210); Anthropic MTS from Nov 2023; AI Control paper co-author",,https://www.alphaxiv.org/@kshitij-sachan;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml,Member of Technical Staff at Anthropic (Nov 2023 - Present),
RW31,2026-07-30,joint work with METR,"METR announces OpenAI Hugging Face review ""with Redwood Research""","METR X post 2082644379895050339; 252,005 views, 2,359 likes (fxtwitter 2026-09-13)",,https://x.com/METR_Evals/status/2082644379895050339;https://api.fxtwitter.com/i/status/2082644379895050339,"We have reached an agreement with OpenAI to conduct an independent review, with Redwood Research, of the model behavior observed during the Hugging Face incident.",
RW32,2026-08-26,joint work with METR,METR report on OpenAI / Hugging Face hacking incident,"Hjalmar Wijk and Ajeya Cotra (METR) plus Greenblatt as Redwood staff contracting with METR; six days on site at OpenAI; ~1,300 transcripts; no payment from OpenAI. Full PDF https://metr.org/hugging-face-incident-report-aug-2026.pdf",,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,Two METR staff members ... and a Redwood Research staff member contracting with METR (Ryan Greenblatt) worked on premises at OpenAI,
RW33,2026-08,joint work with METR,OpenAI Hugging Face Incident Technical Report names METR and Redwood,"OpenAI PDF (local copy openai-hf-incident-technical-report-2026-08.pdf, lines 128-130 and 637-638); OpenAI blog post also links the METR report (403 to fetch)",,https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf;https://openai.com/index/hugging-face-incident-and-the-road-ahead/,OpenAI also worked with METR and Redwood Research to conduct a third-party assessment of the model behavior observed during the incident,
RW34,2026-08-27,joint work with METR,Redwood cross-posts the HF investigation,Greenblatt byline on Redwood blog; Redwood site lists it as joint report with METR (/research/hugging-face-incident),,https://blog.redwoodresearch.org/p/brief-independent-investigation-of;https://www.redwoodresearch.org/research/hugging-face-incident,Two METR staff members and Redwood Research's Chief Scientist investigated an incident,
RW35,2026-09-09,joint work with METR,Anthropic-METR investigation agreement (context for subcontract),"Anthropic page and METR X post 2097765966088487290 (229,399 views) announce eight-week investigation; neither mentions Redwood or subcontractors",,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents;https://x.com/METR_Evals/status/2097765966088487290,We have signed an agreement with METR to conduct an independent investigation of these incidents.,
RW36,2026-09-12,statement,Redwood Research (@redwood_ai) X post: staff subcontracted by METR,"Quote-post of METR 2097765966088487290; fxtwitter 2026-09-13: 95,856 views, 565 likes, 20 RT, 11 replies (local csv row: 95,809 views). No matching Redwood blog post or METR page found",,https://x.com/redwood_ai/status/2098795673248550984;https://api.fxtwitter.com/i/status/2098795673248550984,Several staff from Redwood have been subcontracted by METR to work on this investigation.,
RW37,2025-05,statement,METR 2024 annual report on Redwood,METR annual report says Redwood is carrying forward METR's earlier CoT/dangerous-behaviour detection line while METR prototypes a CoT monitoring tool,,https://metr.org/2024-annual-report.pdf,"Another research group, Redwood Research, is taking that forward, while in early 2025 METR began prototyping a tool for monitoring chain of thought.",
RW38,2021-12-31,grant,"Form 990 TY2021 (Jul 14-Dec 31 2021), Redwood Research Group Inc, EIN 87-1702255","Berkeley CA, 2150 Shattuck Ave; exempt Sep 2021; revenue $13,904,248 (contributions $13,900,000); expenses $2,341,569; net assets $11,562,679; 15 employees. Officers: Thomas CEO, Shlegeris CTO, Zito COO ($56,250 each), Karnofsky Treasurer, Christiano Secretary ($0)",13904248,https://projects.propublica.org/nonprofits/organizations/871702255;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202203149349303980_public.xml,REDWOOD RESEARCH RESEARCHES TECHNIQUES FOR ALIGNING SUPERHUMAN MACHINE INTELLIGENCE,
RW39,2022-12-31,grant,Form 990 TY2022,"Revenue $12,049,894 (contributions $11,974,000); expenses $12,759,191; net assets $10,853,382; 38 employees; top comp: Ziegler $384,872, Lin $295,571, Greenblatt $292,284, Zito $274,370, Thomas $274,361, Shlegeris $273,567",12049894,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202323199349304867_public.xml,NATHANIEL THOMAS | CHAIRPERSON/PRESIDENT | 274361,
RW40,2023-12-31,grant,Form 990 TY2023,"Revenue $10,036,347 (contributions $9,398,000; program revenue $343,734); expenses $12,590,834; net assets $8,298,895; 34 employees; Schedule I reports $4,341,360 cash to Constellation Research Center Inc and the return reports $554,295 of noncash assets transferred in the spin-out; also $200,000 to Fidelity Charitable",10036347,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349327491_public.xml,"TRANSFER OF $4,341,360 GRANT TO REDWOOD RESTRICTED FOR USE FOR CONSTELLATION ... TO NEW CONSTELLATION ENTITY","audit 2026-09-14: was '$4,341,360 to Constellation' without identifying it as cash or including the separate $554,295 noncash transfer."
RW41,2024-12-31,grant,Form 990 TY2024,"Revenue $22,060 (contributions $9,659); expenses $2,922,498; net assets $6,497,522; 6 employees; salaries $842,174; $250,000 + $429,955 leasehold to Constellation Research Center. The $36.566M and $1.1M Coefficient 2025 grants fall in TY2025 (not yet filed)",22060,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302920_public.xml,"RYAN GREENBLATT | CHIEF SCIENTIST | 314922; MICHAEL SHLEGERIS | CEO, DIRECTOR | 272164",
RW42,2026-09-09,recommendation,"Coefficient Giving → Redwood, >$70M over two years","Coefficient blog (Oehlsen): grantmakers Mendel and MacDermott ""recently recommended more than $70 million over the next two years to enable them to scale up their work"", in the Redwood bullet that cites Greenblatt's OpenAI incident investigation",70000000+,"https://coefficientgiving.org/research/were-urgently-scaling-our-work-on-ai-and-biosecurity/ (Emily Oehlsen, 2026-09-09; text in research/independence/coefficient-urgently-scaling.txt; found via Grok G2 RG07)",CG grantmakers Jake Mendel and Matt MacDermott recently recommended more than $70 million over the next two years to enable them to scale up their work.,
RW43,2026,staff,Emery Cooper (Carnegie Mellon University (FOCAL / CS) → Redwood),Researcher / Technical Staff; joined 2026; prior: Carnegie Mellon University (FOCAL / CS) (academia); Researcher,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://openreview.net/profile?id=~Emery_Cooper1 ; research/grok-out/G2-redwood-people.csv RP01,,
RW44,unknown (current roster checked 2026-09-14),staff,Keshav Shenoy (Anthropic Alignment Science → Redwood),"Current Redwood technical roster names Keshav Shenoy; his personal site links previous introspection-adapter work, and the Anthropic Alignment Science blog names him as an April 28 2026 author. The May 2026 hiring date was inferred and is not established by these sources.",,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://kshenoy.xyz/;https://alignment.anthropic.com/2026/introspection-adapters/ ; research/grok-out/G2-redwood-people.csv RP02,,"audit-2 2026-09-14: was {""date"": ""2026-05"", ""detail"": ""Technical Staff; joined 2026-05; prior: Anthropic Alignment Science (frontier lab); Author of Introspection Adapters (Apr 2026)""}. See research/AUDIT-2.md and audit2-evidence/."
RW45,unknown (current roster checked 2026-09-14),staff,Alex Kastner (AI Futures Project → Redwood),Current Redwood technical roster names Alex Kastner; AI Futures Project bylines establish contributions in 2025. The joining year and employment sequence are not established.,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://blog.aifutures.org/p/ai-futures-model-dec-2025-update;research/grok-out/G2-redwood-people.csv RP03,,"audit-2 2026-09-14: was {""date"": ""2025"", ""detail"": ""Technical Staff; joined 2025; prior: AI Futures Project (safety nonprofit); Contributor"", ""source_url"": ""https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://www.greaterwrong.com/users/alex-kastner ; research/grok-out/G2-redwood-people.csv RP03""}. See research/AUDIT-2.md and audit2-evidence/."
RW46,2025,staff,Alexa Pan (Forecasting Research Institute → Redwood),Technical Staff (personal site still says Research Intern); joined 2025; prior: Forecasting Research Institute (safety nonprofit); Researcher,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://alexa-pan.github.io/;https://blog.redwoodresearch.org/p/sota-alignment-assessments-dont-strongly ; research/grok-out/G2-redwood-people.csv RP04,,
RW47,unknown (coauthor by 2025-06-20),staff,Julian Stastny (Center on Long-Term Risk → Redwood),Julian Stastny is on Redwood’s current technical roster; Pivotal bio confirms prior Center on Long-Term Risk work. Redwood blog coauthor by June 20 2025; July 2025 joining date is not established.,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://www.pivotal-research.org/mentors-26q1/julian-stastny;https://blog.redwoodresearch.org/p/making-deals-with-early-schemers;https://matsprogram.org/stream/redwood;research/grok-out/G2-redwood-people.csv RP05,,"audit-2 2026-09-14: was {""date"": ""2025-07"", ""detail"": ""Associate Member of Technical Staff (leads diffuse/low-stake; joined 2025-07; prior: Center on Long-Term Risk (safety nonprofit); Researcher"", ""source_url"": ""https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://www.pivotal-research.org/mentors-26q1/julian-stastny;https://cyberweektau.com/speaker/julian-stastny/;https://blog.redwoodresearch.org/p/making-deals-with-early-schemers;https://matsprogram.org/stream/redwo ; research/grok-out/G2-redwood-people.csv RP05""}. See research/AUDIT-2.md and audit2-evidence/."
RW48,2025-07,staff,Lukas Finnveden (Coefficient Giving (then Open Philanthro → Redwood),Research Analyst / Technical Staff; joined 2025-07; prior: Coefficient Giving (then Open Philanthropy) (funder); Research analyst,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://theorg.com/org/redwood-research/org-chart/lukas-finnveden;https://blog.redwoodresearch.org/p/notes-on-cooperating-with-unaligned ; research/grok-out/G2-redwood-people.csv RP07,,
RW49,unknown (current roster checked 2026-09-14),staff,Aghyad Deeb (Redwood Research (intern) → Redwood),Aghyad Deeb is on the current technical roster. OrgWatch was a browser-verification challenge in audit-2; an intern-to-staff conversion in January 2025 is not independently established.,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://orgwatch.issarice.com/?organization=Redwood+Research ; research/grok-out/G2-redwood-people.csv RP08,,"audit-2 2026-09-14: was {""date"": ""2025-01"", ""detail"": ""Technical Staff; joined 2025-01; prior: Redwood Research (intern) (safety nonprofit); Machine Learning Engineer Intern""}. See research/AUDIT-2.md and audit2-evidence/."
RW50,2025,staff,Alek Westover (Massachusetts Institute of Technology → Redwood),Member of Technical Staff; joined 2025; prior: Massachusetts Institute of Technology (academia); Undergraduate (Math and CS); TCS research,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://awestover.github.io/;https://awestover.github.io/cv.pdf;https://matsprogram.org/mentor/westover ; research/grok-out/G2-redwood-people.csv RP09,,
RW51,2026,staff,Caspar Oesterheld (Carnegie Mellon University (Foundations  → Redwood),Member of Technical Staff; joined 2026; prior: Carnegie Mellon University (Foundations of Cooperative AI Lab) (academia); PhD student / Assistant Director,,https://www.redwoodresearch.org/_next/static/chunks/app/team/page-6a3ca4bfcb429d89.js;https://matsprogram.org/mentors?a7815296_page=4;https://futureoflife.org/person/caspar-oesterheld/;https://www.andrew.cmu.edu/user/coesterh/ ; research/grok-out/G2-redwood-people.csv RP12,,
RW52,2025–2026,lab tie,Eight cited joint Redwood–Anthropic papers 2025–26; Benton author on all eight,"RA02–RA09 identify eight distinct papers: CoT Monitorability; Natural Emergent Misalignment; SHADE-Arena; Optimizing AI Agent Attacks With Synthetic Data; Evaluating Control Protocols for Untrusted AI Agents; Removing Sandbagging; SLEIGHT-Bench; Diffuse AI Control. Joe Benton is named in all eight author lists. Coauthorship does not by itself establish funding, employment or shared governance.",,research/grok-out/G7-redwood-anthropic.csv RA02–RA09,,"audit-2 2026-09-14: was {""subject"": ""Joint Redwood–Anthropic papers 2025–26 (7)"", ""detail"": ""CoT Monitorability (Jul 2025), SHADE-Arena (Jun 2025), Optimizing AI Agent Attacks and Evaluating Control Protocols (Nov 2025), Natural Emergent Misalignment (Nov 2025, Greenblatt as Redwood author on an Anthropic paper using production environments), Removing Sandbagging (Apr 2026), SLEIGHT-Bench (May 2026), Diffuse AI Control (Jun 2026); Joe Benton (Anthropic) is an author on five, then joined METR Sep 2026""}. See research/AUDIT-2.md and audit2-evidence/."
RW53,2026-04-20,lab tie,LinuxArena (Redwood) used in the Claude Mythos Preview system card,"Redwood blog (Tyler Tracy): LinuxArena ""was already used in the Claude Mythos Preview System Card to measure Mythos sabotage ability""",,research/grok-out/G7-redwood-anthropic.csv RA10,,
RW54,2025-09-22,statement,Greenblatt proposes embedded unconflicted third-party risk-report teams,"Greenblatt proposed an unconflicted third-party team whose membership is public and which is embedded within the relevant company, ideally with full employee-level access but outside company management. This is a paraphrase; the quote field retains the exact opening. Source: RA20.",,research/grok-out/G7-redwood-anthropic.csv RA20,ideally the team compiling and writing the risk report would itself be an unconflicted third-party whose membership is publicly known,"audit-2 2026-09-14: was {""detail"": ""Greenblatt blog: \""ideally the team compiling and writing the risk report would itself be an unconflicted third-party whose membership is publicly known (and is embedded within the relevant AI company)\"" — a year before Amodei's embedded-evaluator commitment""}. See research/AUDIT-2.md and audit2-evidence/."
RW55,2026-07-31,statement,Alexa Pan (Redwood) on Anthropic's Mythos alignment assessment,"Questions Anthropic's April conclusion that Mythos Preview ""does not possess any unknown propensities that would increase alignment risk""",,research/grok-out/G7-redwood-anthropic.csv RA21,,
RW56,2026-09-14,lab tie,No Anthropic money to Redwood found; no Redwood person on Anthropic governance,"Searched Redwood home/careers/blog, WIRED 2026-07-28 (Shlegeris names Coefficient and SFF), Anthropic match program pages, LTBT updates: none found",,research/grok-out/G7-redwood-anthropic.csv RA13–RA14,,
RW57,2023,entity,Constellation Research Center Inc (EIN 93-2465256) spun out of Redwood,"990 TY2023 Schedule O: ""CONSTELLATION RESEARCH CENTER INC. (CRC) WAS FOUNDED BY REDWOOD RESEARCH GROUP, INC. ... FORMED TO TAKE OVER REDWOOD'S CONSTELLATION PROGRAM WHICH PROVIDES CO-WORKING SPACES ... THE CONSTELLATION PROGRAM WAS GRANTED TO CRC IN 2023""; Redwood on Schedule R (""OPERATE CO-WORKING SPACE""); same address 2150 Shattuck Ave Ste 1200; Nathaniel Thomas CEO thru 7/24, William Zito President thru 11/24",5958891,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423209349328452_public.xml;https://projects.propublica.org/nonprofits/organizations/932465256,CONSTELLATION RESEARCH CENTER INC. (CRC) WAS FOUNDED BY REDWOOD RESEARCH GROUP,"TY2023 revenue; TY2024 revenue $12,615,988 (object 202503199349302910). Coefficient grants to Constellation $22.95M (M126–M128). S4-people gap 2"
RW58,2026-09-12,statement,Subcontract scope and staff (search closure),"No Redwood or METR web page names the subcontracted staff or the terms; Anthropic's 9 Sep page names only METR (eight-week agreement, extendable); METR's 9 Sep X post says reports will ""describe our terms of engagement""; metr.org/blog has no Sep 2026 post; redwoodresearch.org home/team silent. Greenblatt is the only publicly self-identified member (X, 12 Sep 15:41 UTC)",,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents;https://x.com/METR_Evals/status/2097765966088487290;https://x.com/RyanGreenblatt/status/2098799055573045589,I'm excited to work with METR and others from Redwood on improving the public state of knowledge on this topic.,fxtwitter fetches 2026-09-14 (S4-people/docs). Greenblatt pre-Redwood employer not on any org page (Forethought: BS Brown; podcast: joined Dec 2021); LinkedIn-derived aggregator lead not used. S4-people gap 6
RW59,2026-09-13,statement,Ryan Greenblatt and Beth Barnes,"METR's Sep 13 2026 blog edit: ""Ryan Greenblatt is the domestic partner of Beth Barnes, METR's CEO. Beth Barnes was not involved in the decision to engage Ryan Greenblatt, nor was she directly involved in this investigation."" Greenblatt, Redwood's chief scientist, was the Redwood staff member contracting with METR on the OpenAI/HF investigation (HF80) and is on the Anthropic investigation team (RW36).",,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"Ryan Greenblatt is the domestic partner of Beth Barnes, METR's CEO.",METR blog refetched first-hand 2026-09-14 08:48 UTC (research/metr-2026-08-26-hf-incident-refetch-2026-09-14.html); agent S7 case study research/hf_case.csv; disclosed by METR itself 18 days after publication; who made the engagement decision is not stated
