row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,document_name,org_id,search_scope,source_file
PAGE-CONTROL-controlai-about,,https://controlai.org/about,2026-09-14,About Us | ControlAI About Us ControlAI is a non-profit organisation that works to prevent the extinction risk posed by superintelligence an,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,controlai-about.html,CONTROL,public page snapshot,sources/controlai-about.html
PAGE-CONTROL-controlai-registry,,https://find-and-update.company-information.service.gov.uk/company/15088415,2026-09-14,CONTROLAI overview - Find and update company information - GOV.UK Cookies on Companies House services We use some essential cookies to make ,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,controlai-registry.html,CONTROL,public page snapshot,sources/controlai-registry.html
PAGE-CONTROL-controlai-accounts-2024,,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzQ2NzM5NjgxOWFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,Secure Future Research Ltd - Period Ending 2024-12-31 Secure Future Research Ltd 15088415 false 2023-08-22 2024-12-31 2024-12-31 The princip,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,controlai-accounts-2024.xhtml,CONTROL,public page snapshot,sources/controlai-accounts-2024.xhtml
PAGE-CONTROL-controlai-accounts-2025,,https://find-and-update.company-information.service.gov.uk/company/15088415/filing-history/MzU0MDI5NDI2MmFkaXF6a2N4/document?format=xhtml&download=1,2026-09-14,Secure Future Research Ltd - Period Ending 2025-12-31 Secure Future Research Ltd 15088415 false 2025-01-01 2025-12-31 2025-12-31 The princip,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,controlai-accounts-2025.xhtml,CONTROL,public page snapshot,sources/controlai-accounts-2025.xhtml
PAGE-SAIF-saif-home,,https://saif.org/,2026-09-14,Safe AI Forum Home About & Contact Opportunities Research Updates IDAIS Safe AI Forum Fostering international collaboration to mitigate AI r,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,saif-home.html,SAIF,public page snapshot,sources/saif-home.html
PAGE-IAPS-iaps-funding,,https://www.iaps.ai/governance-history-independence-funding,2026-09-14,"Governance, History, Independence, & Funding — Institute for AI Policy and Strategy 0 Skip to Content Research News Our Team Careers Fellows",This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,iaps-funding.html,IAPS,public page snapshot,sources/iaps-funding.html
PAGE-HORIZON-horizon-about,,https://horizonpublicservice.org/about-us/,2026-09-14,About us – Horizon Institute for Public Service About Us Programs Career Accelerator Workshops & Events Fellowship Become a Fellow Host a Fe,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,horizon-about.html,HORIZON,public page snapshot,sources/horizon-about.html
PAGE-ARI-ari-about,,https://ari.us/about/,2026-09-14,About Us - Americans for Responsible Innovation Skip to content About Us About Us Our Priorities Our Values Team Our Team Careers News State,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,ari-about.html,ARI,public page snapshot,sources/ari-about.html
PAGE-CRI-cri-home,,https://www.centerforresponsibleinnovation.us/,2026-09-14,Center for Responsible Innovation 0 Skip to Content Open Menu Close Menu Open Menu Close Menu Informing the Conversation on AI Policy​ Cente,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,cri-home.html,CRI,public page snapshot,sources/cri-home.html
PAGE-PC-citizen-annual,,https://www.citizen.org/about/annual-report/,2026-09-14,Annual Report - Public Citizen Public Citizen Skip to navigation [n] Skip to content [c] Skip to footer [f] Menu About Us Victories News Sea,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,citizen-annual.html,PC,public page snapshot,sources/citizen-annual.html
PAGE-PCF-citizen-annual,,https://www.citizen.org/about/annual-report/,2026-09-14,Annual Report - Public Citizen Public Citizen Skip to navigation [n] Skip to content [c] Skip to footer [f] Menu About Us Victories News Sea,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,citizen-annual.html,PCF,public page snapshot,sources/citizen-annual.html
PAGE-FAS-fas-about,,https://fas.org/about-fas/,2026-09-14,About - Federation of American Scientists Issues Climate & Energy Emerging Technology Global Risk Government Capacity State & Local Innovati,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,fas-about.html,FAS,public page snapshot,sources/fas-about.html
PAGE-FAS-fas-annual-2023,,https://fas.org/publication/fas-annual-report-2023/,2026-09-14,FAS Annual Report 2023 - Federation of American Scientists Issues Climate & Energy Emerging Technology Global Risk Government Capacity State,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,fas-annual-2023.html,FAS,public page snapshot,sources/fas-annual-2023.html
PAGE-PROGRESS-progress-partners,,https://progresschamber.org/partners/,2026-09-14,Partners - Chamber of Progress Skip to the content News Issues Civic Innovation Policy Financial Policy Social Policy Technology Policy Our ,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,progress-partners.html,PROGRESS,public page snapshot,sources/progress-partners.html
PAGE-ITIF-itif-supporters,,https://itif.org/our-supporters/,2026-09-14,Our Supporters | ITIF Skip to content News Press Releases News Clips Media Contacts Get Our Newsletters Events Events Presentations Publicat,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,itif-supporters.html,ITIF,public page snapshot,sources/itif-supporters.html
PAGE-TECHFREEDOM-techfreedom-about,,https://techfreedom.org/about/,2026-09-14,About Explore Close Our Work Foundation The Next Frontier Analog to Digital Digital Security White Papers About Events Contact Donate Menu C,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,techfreedom-about.html,TECHFREEDOM,public page snapshot,sources/techfreedom-about.html
PAGE-NETCHOICE-netchoice-about,,https://netchoice.org/about/,2026-09-14,About Us - NetChoice type your search term here Issues Antitrust Artificial Intelligence Data Centers Digital Parenting Free Speech Online I,This specific captured page was searched for identity and funding disclosures. This is not an exhaustive crawl or a claim about other pages or dates.,netchoice-about.html,NETCHOICE,public page snapshot,sources/netchoice-about.html
PAGE-EA-INDEX,,https://funds.effectivealtruism.org/grants,2026-09-14,Grants,Full embedded public grant index searched against the EIN/name alias register where names are supplied. No exact organization-name match found; no person-level or sponsor-wide grant allocated to an organization. This non-match is bounded to this index snapshot.,EA Funds public grant index,,embedded grantsList array,sources/ea-funds-grants.html
PAGE-PC-REVIEW,,https://www.citizen.org/wp-content/uploads/2025-Year-in-Review.pdf,2026-09-14,2024,"The annual-review PDF linked as the requested fiscal-year review was text-extracted and searched for funding/donor disclosures. No donor-by-period ledger found. This is a bounded search of this document, not all Public Citizen publications.",Public Citizen year-in-review PDF,PC,,sources/citizen-review-2024.pdf
