row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,claim,closing_document,input_row_ids,org_id,verdict
V-FLI-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-FLI,FLI,KEEP
V-FLI-CASH,,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,"17,200",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-205205488-202223199349318287-2610;G-205205488-202103199349327615-665;G-205205488-202003199349301770-651,FLI,KEEP
V-FLI-DECLARED,,https://futureoflife.org/about-us/funding/,2026-09-14,"Vitalik Buterin, our largest donor by far",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-FLI,FLI,KEEP
V-FLI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202223199349318287/IRS990ScheduleI,2026-09-14,"17,200",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-205205488-202223199349318287-2610;G-205205488-202103199349327615-665;G-205205488-202003199349301770-651,FLI,KEEP
V-FLI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/471052538.json,2026-09-14,"{""name"":""Future Of Life Institute"",""ein"":471052538,""subsection_code"":3,""ruling_date"":""2014-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-FLI;DP-FLI,FLI,OPEN
V-SAIF-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-SAIF,SAIF,KEEP
V-SAIF-CASH,,https://projects.propublica.org/nonprofits/full_text/202601289349302480/IRS990ScheduleI,2026-09-14,"345,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-237825575-202601289349302480-16234;G-461008520-202641359349102829-248;G-461008520-202641359349102829-249,SAIF,KEEP
V-SAIF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-SAIF,SAIF,OPEN
V-SAIF-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202601289349302480/IRS990ScheduleI,2026-09-14,"345,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-237825575-202601289349302480-16234,SAIF,KEEP
V-SAIF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/934950919.json,2026-09-14,"{""name"":""Safe Artificial Intelligence Forum Institute"",""ein"":934950919,""subsection_code"":3,""ruling_date"":""2024-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-SAIF;DP-SAIF,SAIF,OPEN
V-IAPS-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-IAPS,IAPS,KEEP
V-IAPS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-IAPS,IAPS,OPEN
V-IAPS-DECLARED,,https://www.iaps.ai/governance-history-independence-funding,2026-09-14,"including support to date from Coefficient Giving, Hewlett Foundation, Longview, Macroscopic Ventures, the Survival and Flourishing Fund, allied government, and individual donors",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-IAPS,IAPS,KEEP
V-IAPS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-IAPS,IAPS,OPEN
V-IAPS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/320839313.json,2026-09-14,"{""name"":""Institute For Ai Policy And Strateg Y Inc"",""ein"":320839313,""subsection_code"":3,""ruling_date"":""2026-04-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-IAPS;DP-IAPS,IAPS,OPEN
V-HORIZON-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-HORIZON,HORIZON,KEEP
V-HORIZON-CASH,,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990ScheduleI,2026-09-14,"6,451,344",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-205205488-202333189349318948-1516;G-232888152-202621329349306657-11582;G-232888152-202511349349313096-10008;G-237825575-202511339349301311-7801;G-461008520-202441369349105564-106;G-812644663-202303199349323610-25,HORIZON,KEEP
V-HORIZON-DECLARED,,https://horizonpublicservice.org/about-us/,2026-09-14,no foundation or donor provides a majority of our funding.,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-HORIZON,HORIZON,KEEP
V-HORIZON-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202333189349318948/IRS990ScheduleI,2026-09-14,"6,451,344",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-205205488-202333189349318948-1516;G-232888152-202621329349306657-11582;G-232888152-202511349349313096-10008;G-237825575-202511339349301311-7801,HORIZON,KEEP
V-HORIZON-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/874657441.json,2026-09-14,"{""name"":""Horizon Institute For Public Service"",""ein"":874657441,""subsection_code"":3,""ruling_date"":""2022-09-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-HORIZON;DP-HORIZON,HORIZON,OPEN
V-ARI-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-ARI,ARI,KEEP
V-ARI-CASH,,https://projects.propublica.org/nonprofits/full_text/202513209349301211/IRS990ScheduleI,2026-09-14,"2,948,728",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-812644663-202513209349301211-3,ARI,KEEP
V-ARI-DECLARED,,https://ari.us/about/,2026-09-14,"Inclusive Abundance Action, Omidyar Network, and Coefficient Giving",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-ARI,ARI,KEEP
V-ARI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-ARI,ARI,OPEN
V-ARI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/933248564.json,2026-09-14,"{""name"":""Americans For Responsible Innovation Ltd"",""ein"":933248564,""subsection_code"":4,""ruling_date"":null}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-ARI;DP-ARI,ARI,OPEN
V-CRI-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-CRI,CRI,KEEP
V-CRI-CASH,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,"700,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-232888152-202621329349306657-4078;G-461008520-202641359349102829-46,CRI,KEEP
V-CRI-DECLARED,,https://www.centerforresponsibleinnovation.us/,2026-09-14,"Founders Pledge, the Laidir Foundation, Coefficient Giving, the David and Lucile Packard Foundation, Omidyar Network, and Sentinel Bio",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-CRI,CRI,KEEP
V-CRI-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,2026-09-14,"700,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-232888152-202621329349306657-4078,CRI,KEEP
V-CRI-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/990921925.json,2026-09-14,"{""name"":""Center For Responsible Innovation Ltd"",""ein"":990921925,""subsection_code"":3,""ruling_date"":""2024-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-CRI;DP-CRI,CRI,OPEN
V-PC-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-PC,PC,KEEP
V-PC-CASH,,https://projects.propublica.org/nonprofits/full_text/202412739349300401/IRS990ScheduleI,2026-09-14,"50,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-510198509-202412739349300401-1648;G-510198509-202133149349300708-1611;G-510198509-202043149349304239-1036;G-521263996-202521499349301107-2;G-521263996-202000429349301210-8,PC,KEEP
V-PC-DECLARED,,https://www.citizen.org/about/annual-report/,2026-09-14,We do not accept corporate or government money,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-PC-POLICY,PC,KEEP
V-PC-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202412739349300401/IRS990ScheduleI,2026-09-14,"50,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-510198509-202412739349300401-1648;G-510198509-202133149349300708-1611;G-510198509-202043149349304239-1036,PC,KEEP
V-PC-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/237104508.json,2026-09-14,"{""name"":""Public Citizen Inc"",""ein"":237104508,""subsection_code"":4,""ruling_date"":""1972-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PC;DP-PC,PC,OPEN
V-PCF-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-PCF,PCF,KEEP
V-PCF-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"5,250",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-205205488-202543149349305759-2505;G-205205488-202223199349318287-2888;G-205205488-202003199349301770-3105;G-232888152-202621329349306657-18905;G-232888152-202511349349313096-16381;G-232888152-202441359349309439-14610;G-232888152-202331359349303108-14880;G-232888152-202211339349310116-13366;G-237825575-202601289349302480-15381;G-237825575-202431429349301368-10514;G-237825575-202311359349313966-10305;G-237825575-202231339349309863-8571;G-237825575-202121459349300307-9411;G-237825575-202011979349306246-5481;G-510198509-202523189349301347-1539;G-510198509-202412739349300401-1647;G-510198509-202400469349300305-1801;G-510198509-202233189349313898-1460;G-510198509-202133149349300708-1610,PCF,KEEP
V-PCF-DECLARED,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}",KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,Dated official supporter list or annual report naming funding sources.,ID-PCF,PCF,OPEN
V-PCF-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"5,250",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-205205488-202543149349305759-2505;G-205205488-202223199349318287-2888;G-205205488-202003199349301770-3105;G-232888152-202621329349306657-18905;G-232888152-202511349349313096-16381;G-232888152-202441359349309439-14610;G-232888152-202331359349303108-14880;G-232888152-202211339349310116-13366;G-237825575-202601289349302480-15381;G-237825575-202431429349301368-10514;G-237825575-202311359349313966-10305;G-237825575-202231339349309863-8571;G-237825575-202121459349300307-9411;G-237825575-202011979349306246-5481;G-510198509-202523189349301347-1539;G-510198509-202412739349300401-1647;G-510198509-202400469349300305-1801;G-510198509-202233189349313898-1460;G-510198509-202133149349300708-1610,PCF,KEEP
V-PCF-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/521263996.json,2026-09-14,"{""name"":""Public Citizen Foundation Inc"",""ein"":521263996,""subsection_code"":3,""ruling_date"":""1992-06-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PCF;DP-PCF,PCF,OPEN
V-FAS-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-FAS,FAS,KEEP
V-FAS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"333,000",KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,,G-205205488-202543149349305759-1077;G-205205488-202413129349304911-1022;G-205205488-202333189349318948-1092;G-205205488-202223199349318287-546;G-205205488-202103199349327615-597;G-232888152-202621329349306657-8176;G-237825575-202601289349302480-6636;G-237825575-202511339349301311-5539;G-237825575-202431429349301368-4513;G-237825575-202311359349313966-4458;G-461008520-202441369349105564-89;G-461008520-202441369349105564-90;G-461008520-202441369349105564-91;G-461008520-202441369349105564-92;G-461008520-202341359349105939-42;G-461008520-202341359349105939-43;G-461008520-202341359349105939-44;G-471052538-202523119349303667-4;G-812644663-202403209349313635-21;G-812644663-202403209349313635-22;G-874657441-202441209349301334-1,FAS,KEEP
V-FAS-DECLARED,,https://fas.org/publication/fas-annual-report-2023/,2026-09-14,National Philanthropic Trust,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-FAS,FAS,KEEP
V-FAS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,"333,000",KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,,G-205205488-202543149349305759-1077;G-205205488-202413129349304911-1022;G-205205488-202333189349318948-1092;G-205205488-202223199349318287-546;G-205205488-202103199349327615-597;G-232888152-202621329349306657-8176;G-237825575-202601289349302480-6636;G-237825575-202511339349301311-5539;G-237825575-202431429349301368-4513;G-237825575-202311359349313966-4458,FAS,KEEP
V-FAS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/237185827.json,2026-09-14,"{""name"":""Federation Of American Scientists"",""ein"":237185827,""subsection_code"":3,""ruling_date"":""1972-07-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-FAS;DP-FAS,FAS,OPEN
V-PROGRESS-STATUS,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","Identity from the IRS Business Master File as distributed by the public Nonprofit Explorer API. This is a registry listing, not proof of current activity or a donor disclosure.",The legal identity and stated tax status are verified,,ID-PROGRESS,PROGRESS,KEEP
V-PROGRESS-CASH,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP confirms only the filed payer/grantee/amount/period; it does not allocate the grant to AI messaging. OPEN is a bounded non-match in the enumerated schedules.,A named institution filed a cash grant to this legal entity,"Primary payer-side cash-grant schedule naming this legal grantee, amount and period.",CV-PROGRESS,PROGRESS,OPEN
V-PROGRESS-DECLARED,,https://progresschamber.org/partners/,2026-09-14,Our work is supported by our corporate partners,KEEP confirms an attributed self-disclosure. It does not independently verify each payment or quantify donor shares. OPEN means no adequate funder list in the captured pages listed in STATE.md.,The organization publicly names funding sources,,D-PROGRESS,PROGRESS,KEEP
V-PROGRESS-ROUTE,,https://projects.propublica.org/nonprofits/full_text/202543149349305759/IRS990ScheduleI,2026-09-14,Silicon Valley Community Foundation | 01-01-2024 | 12-31-2024,KEEP establishes the institutional route only. The underlying fund type and adviser remain unresolved. OPEN is not a zero.,A DAF sponsor filed a cash grant to this legal entity,"Primary DAF-sponsor grant schedule naming the grantee, amount and period.",CV-PROGRESS,PROGRESS,OPEN
V-PROGRESS-SHARES,,https://projects.propublica.org/nonprofits/api/v2/organizations/853963084.json,2026-09-14,"{""name"":""Chamber Of Progress"",""ein"":853963084,""subsection_code"":6,""ruling_date"":""2021-08-01""}","Donor-by-period receipts and a reconciled denominator are not public in the examined records. No residual is calculated from grants divided by organization revenue. Sponsor-route ratio is a different, coverage-limited measure.","Declared-donor, confirmed-DAF and unidentified shares of total funding can be computed","A reconciled public donor-by-period receipts ledger, grant-level fund-type designations and recipient accounting reconciliation; public releases only.",ID-PROGRESS;DP-PROGRESS,PROGRESS,OPEN
