grantor,grantee,amount_usd_claimed,date_or_year,money_type,claim_source_url,freeze_sentence,row_id
,Civic AI Security Program,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Civic AI Security Program (CivAI) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-CIVAI-1
,PauseAI US,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists PauseAI US as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-PAUSEUS-1
,PauseAI Global,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists PauseAI Global as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-PAUSEGLOBAL-1
,"80,000 Hours",,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists 80,000 Hours as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-80K-1
,Common Sense Media,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Common Sense Media as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-CSM-1
,Economic Security Project,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Economic Security Project as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-ESP-1
,Blueprint for Free Speech,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Blueprint for Free Speech as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-BFFS-1
,Young People's Alliance Education Fund,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Young People's Alliance Education Fund as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-YPA-1
,AI Objectives Institute,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists AI Objectives Institute as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-AOI-1
,Evitable,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Evitable as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-EVITABLE-1
,Bureau of Investigative Journalism,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Bureau of Investigative Journalism as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-BIJ-1
,Alignment Research Center,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Alignment Research Center (ARC) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-ARC-1
,Redwood Research,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Redwood Research as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-REDWOOD-1
,Constellation,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Constellation as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-CONSTELLATION-1
,Longview Philanthropy,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Longview Philanthropy as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-LONGVIEW-1
,RAND Corporation,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists RAND as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-RAND-1
,Canary project,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The user-supplied transcription lists Canary (Audacious) as a funding-network lead; grantor, grant date, filing year and money type are unspecified.",PG-CANARY-1
Elon Musk,Future of Life Institute,10000000,2015,unknown,https://x.com/rookepoole/status/2099660837388501127,"The supplied lead claims Elon Musk gave FLI $10,000,000 in 2015; legal payer and disbursement timing are unspecified.",PG-MUSK-FLI
Vitalik Buterin,Future of Life Institute,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The supplied lead proposes a Vitalik Buterin funding relationship with Future of Life Institute; amount, year and legal paying/receiving entity remain unspecified.",PG-VITALIK-BUTERIN-FUTURE-OF-LIFE-INSTITUTE
Vitalik Buterin,Survival and Flourishing Fund,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The supplied lead proposes a Vitalik Buterin funding relationship with Survival and Flourishing Fund; amount, year and legal paying/receiving entity remain unspecified.",PG-VITALIK-BUTERIN-SURVIVAL-AND-FLOURISHING-FUND
Jaan Tallinn,Future of Life Institute,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The supplied lead proposes a Jaan Tallinn funding relationship with Future of Life Institute; amount, year and legal paying/receiving entity remain unspecified.",PG-JAAN-TALLINN-FUTURE-OF-LIFE-INSTITUTE
Jaan Tallinn,Survival and Flourishing Fund,,,unknown,https://x.com/rookepoole/status/2099660837388501127,"The supplied lead proposes a Jaan Tallinn funding relationship with Survival and Flourishing Fund; amount, year and legal paying/receiving entity remain unspecified.",PG-JAAN-TALLINN-SURVIVAL-AND-FLOURISHING-FUND
Jaan Tallinn (SFF recommendation),AI Futures Project,505000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $505,000 published funding recommendation for AI Futures Project, with receiving charity Epistea, z.s.; this does not establish a cash payment or filing year.",SFF-2024-G0-R2-REC
Jaan Tallinn (SFF recommendation),"Center for AI Safety Action Fund, Inc.",1621000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $1,621,000 published funding recommendation for Center for AI Safety Action Fund, Inc., with receiving charity Center for AI Safety Action Fund, Inc.; this does not establish a cash payment or filing year.",SFF-2024-G0-R20-REC
Jaan Tallinn (SFF recommendation),"Center for AI Safety, Inc.",1146000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $1,146,000 published funding recommendation for Center for AI Safety, Inc., with receiving charity Center for AI Safety, Inc.; this does not establish a cash payment or filing year.",SFF-2024-G0-R21-REC
Jaan Tallinn (SFF recommendation),Encode Justice,50000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $50,000 published funding recommendation for Encode Justice, with receiving charity March On Foundation; this does not establish a cash payment or filing year.",SFF-2024-G0-R29-REC
Jaan Tallinn (SFF recommendation),Machine Intelligence Research Institute,54000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $54,000 published funding recommendation for Machine Intelligence Research Institute, with receiving charity Machine Intelligence Research Institute Inc.; this does not establish a cash payment or filing year.",SFF-2024-G0-R46-REC
Jaan Tallinn (SFF recommendation),Model Evaluation and Threat Research,204000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $204,000 published funding recommendation for Model Evaluation and Threat Research, with receiving charity Model Evaluation and Threat Research, Inc.; this does not establish a cash payment or filing year.",SFF-2024-G0-R53-REC
Jaan Tallinn (SFF recommendation),Palisade Research,586000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $586,000 published funding recommendation for Palisade Research, with receiving charity Palisade Research Inc.; this does not establish a cash payment or filing year.",SFF-2024-G0-R56-REC
Jaan Tallinn (SFF recommendation),The AI Policy Institute,142000,2024,recommendation,https://survivalandflourishing.fund/2024/recommendations,"SFF’s 2024 round lists Jaan Tallinn as source of a $142,000 published funding recommendation for The AI Policy Institute, with receiving charity Hack Foundation; this does not establish a cash payment or filing year.",SFF-2024-G0-R72-REC
Jaan Tallinn (SFF recommendation),AI Futures Project,1535000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $1,535,000 non-matching portion of the published recommendation, derived as total minus included matching pledge for AI Futures Project, with receiving charity AI Futures Project; this does not establish a cash payment or filing year.",SFF-2025-G0-R4-REC
Jaan Tallinn (SFF recommendation),AI Futures Project,500000,2025,commitment,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $500,000 conditional matching pledge included in the total recommendation for AI Futures Project, with receiving charity AI Futures Project; this does not establish a cash payment or filing year.",SFF-2025-G0-R4-MATCH
Jaan Tallinn (SFF recommendation),AI Policy Institute (AIPI),1635000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $1,635,000 published funding recommendation for AI Policy Institute (AIPI), with receiving charity The Hack Foundation; this does not establish a cash payment or filing year.",SFF-2025-G0-R6-REC
Jaan Tallinn (SFF recommendation),Center for AI Safety (CAIS),289000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $289,000 published funding recommendation for Center for AI Safety (CAIS), with receiving charity Center for AI Safety, Inc.; this does not establish a cash payment or filing year.",SFF-2025-G0-R17-REC
Jaan Tallinn (SFF recommendation),Center for AI Safety Action Fund (CAIS AF),772000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $772,000 published funding recommendation for Center for AI Safety Action Fund (CAIS AF), with receiving charity Center for AI Safety Action Fund, Inc.; this does not establish a cash payment or filing year.",SFF-2025-G0-R18-REC
Jaan Tallinn (SFF recommendation),Encode AI Corporation,516000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $516,000 published funding recommendation for Encode AI Corporation, with receiving charity Encode AI Corporation; this does not establish a cash payment or filing year.",SFF-2025-G0-R32-REC
Jaan Tallinn (SFF recommendation),Machine Intelligence Research Institute (MIRI),215000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $215,000 non-matching portion of the published recommendation, derived as total minus included matching pledge for Machine Intelligence Research Institute (MIRI), with receiving charity Machine Intelligence Research Institute; this does not establish a cash payment or filing year.",SFF-2025-G0-R47-REC
Jaan Tallinn (SFF recommendation),Machine Intelligence Research Institute (MIRI),1392000,2025,commitment,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $1,392,000 conditional matching pledge included in the total recommendation for Machine Intelligence Research Institute (MIRI), with receiving charity Machine Intelligence Research Institute; this does not establish a cash payment or filing year.",SFF-2025-G0-R47-MATCH
Jaan Tallinn (SFF recommendation),Model Evaluation & Threat Research (METR),120000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $120,000 non-matching portion of the published recommendation, derived as total minus included matching pledge for Model Evaluation & Threat Research (METR), with receiving charity Model Evaluation and Threat Research, Inc.; this does not establish a cash payment or filing year.",SFF-2025-G0-R56-REC
Jaan Tallinn (SFF recommendation),Model Evaluation & Threat Research (METR),428000,2025,commitment,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $428,000 conditional matching pledge included in the total recommendation for Model Evaluation & Threat Research (METR), with receiving charity Model Evaluation and Threat Research, Inc.; this does not establish a cash payment or filing year.",SFF-2025-G0-R56-MATCH
Jaan Tallinn (SFF recommendation),Palisade Research,205000,2025,recommendation,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $205,000 non-matching portion of the published recommendation, derived as total minus included matching pledge for Palisade Research, with receiving charity Palisade Research; this does not establish a cash payment or filing year.",SFF-2025-G0-R63-REC
Jaan Tallinn (SFF recommendation),Palisade Research,928000,2025,commitment,https://survivalandflourishing.fund/2025/recommendations,"SFF’s 2025 round lists Jaan Tallinn as source of a $928,000 conditional matching pledge included in the total recommendation for Palisade Research, with receiving charity Palisade Research; this does not establish a cash payment or filing year.",SFF-2025-G0-R63-MATCH
Elon Musk,Future of Life Institute,10000000,2015,commitment,https://futureoflife.org/newsletter/2015-a-year-in-review/,"In its 2015 review, FLI reported Musk’s announcement of a $10,000,000 donation for an AI safety research grant program; payment timing and legal payer are not established here.",FLI-MUSK-ANNOUNCEMENT
