name,normalized_name,category,source,graphic_amount_usd_claimed,notes
Jaan Tallinn,Jaan Tallinn,person,poole_graphic,,"User transcription only; original graphic unavailable; OCR and exact label unverified. Funding, investment and governance claims require separate evidence."
Vitalik Buterin,Vitalik Buterin,person,poole_graphic,,"User transcription only; original graphic unavailable; OCR and exact label unverified. Funding, investment and governance claims require separate evidence."
Elon Musk,Elon Musk,person,poole_graphic,,"User transcription only; original graphic unavailable; OCR and exact label unverified. Funding, investment and governance claims require separate evidence."
Good Ventures Foundation,Good Ventures Foundation,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. EIN 46-1008520 supplied in brief.
Coefficient Giving,Coefficient Giving,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. 
National Philanthropic Trust,National Philanthropic Trust,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. 
Silicon Valley Community Foundation,Silicon Valley Community Foundation,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. 
Players Philanthropy Fund,Players Philanthropy Fund,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. 
Vanguard Charitable,Vanguard Charitable,funder,prior,,Prior Bass/Tarbell orbit; no new money attributed. 
Tarbell Center,Tarbell Center for AI Journalism,ngo,prior,,Prior TB01–TB06/F1–F3 retained; no repeat rematch or new total here.
Anthropic,Anthropic,lab,prior,,Investor and stake leads only; no payroll attribution from grants.
Facing the Frontier,Facing the Frontier,media,poole_thread,,User-supplied amplification/program lead; original thread unavailable; standalone legal entity not established.
FLI Digital Media Accelerator,FLI Digital Media Accelerator,media,poole_thread,,User-supplied amplification/program lead; original thread unavailable; standalone legal entity not established.
Protect What's Human,Protect What's Human,media,poole_thread,,User-supplied amplification/program lead; original thread unavailable; standalone legal entity not established.
UK ASI Security Bill,UK ASI Security Bill,policy,poole_thread,,"Policy output only; no NGO/grant row without spending evidence and, if relevant, Schedule C."
US superintelligence-ban effort,US superintelligence-ban effort,policy,poole_thread,,"Policy output only; no NGO/grant row without spending evidence and, if relevant, Schedule C."
UK AI kill-switch amendment,UK AI kill-switch amendment,policy,poole_thread,,"Policy output only; no NGO/grant row without spending evidence and, if relevant, Schedule C."
Ashgro,Ashgro,other,prior,,Sponsor/receiving-entity lead. Preserve exact period-specific receiving-charity label; do not assign sponsor-wide funding to a program.
"Epistea, z.s.","Epistea, z.s.",other,prior,,Sponsor/receiving-entity lead. Preserve exact period-specific receiving-charity label; do not assign sponsor-wide funding to a program.
The Hack Foundation,The Hack Foundation,other,prior,,Sponsor/receiving-entity lead. Preserve exact period-specific receiving-charity label; do not assign sponsor-wide funding to a program.
March On Foundation,March On Foundation,other,prior,,Sponsor/receiving-entity lead. Preserve exact period-specific receiving-charity label; do not assign sponsor-wide funding to a program.
